Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2025-02-14,243.53855895996094,228.67999267578125,184.3776092529297,404.5158996582031,138.80453491210938
2025-02-18,243.40911865234375,226.64999389648438,182.92431640625,405.7142639160156,139.35435485839844
2025-02-19,243.80738830566406,226.6300048828125,184.41741943359375,410.7950744628906,139.18438720703125
2025-02-20,244.7632293701172,222.8800048828125,183.71066284179688,412.9684753417969,140.06410217285156
2025-02-21,244.4844207763672,216.5800018310547,178.83323669433594,405.108642578125,134.38595581054688
2025-02-24,246.02769470214844,212.7100067138672,178.4251251220703,400.9306335449219,130.23733520507812
2025-02-25,245.96795654296875,212.8000030517578,174.6127471923828,394.8769836425781,126.5885238647461
2025-02-26,239.31695556640625,214.35000610351562,171.9351043701172,396.6930847167969,131.23699951171875
2025-02-27,236.27024841308594,208.74000549316406,167.72457885742188,389.5477600097656,120.11065673828125
2025-02-28,240.79052734375,212.27999877929688,169.49636840820312,393.973876953125,124.87908172607422
2025-03-03,236.9970703125,205.02000427246094,166.24142456054688,385.5384521484375,114.02263641357422
2025-03-04,234.9061737060547,203.8000030517578,170.13345336914062,385.65753173828125,115.9520034790039
2025-03-05,234.71701049804688,208.36000061035156,172.22378540039062,397.9732360839844,117.26158142089844
2025-03-06,234.30877685546875,200.6999969482422,171.556884765625,393.8746643066406,110.53378295898438
2025-03-07,238.0325469970703,199.25,173.05992126464844,390.32183837890625,112.65309143066406
2025-03-10,226.4928436279297,194.5399932861328,165.29684448242188,377.2717590332031,106.94495391845703
2025-03-11,219.88165283203125,196.58999633789062,163.47315979003906,377.5595397949219,108.72438049316406
2025-03-12,216.03842163085938,198.88999938964844,166.53256225585938,380.3581237792969,115.71273803710938
2025-03-13,208.77008056640625,193.88999938964844,162.1975860595703,375.892333984375,115.55277252197266
2025-03-14,212.5635528564453,197.9499969482422,164.91815185546875,385.60791015625,121.6413345336914
2025-03-17,213.07135009765625,195.74000549316406,163.72230529785156,385.74688720703125,119.50183868408203
2025-03-18,211.76702880859375,192.82000732421875,160.11480712890625,380.606201171875,115.40280151367188
2025-03-19,214.3059539794922,195.5399932861328,163.32366943359375,384.8735656738281,117.49230194091797
2025-03-20,213.17091369628906,194.9499969482422,162.23744201660156,383.9010009765625,118.50206756591797
2025-03-21,217.32281494140625,196.2100067138672,163.42333984375,388.2874450683594,117.6722640991211
2025-03-24,219.77215576171875,203.25999450683594,167.10060119628906,390.0935974121094,121.38140106201172
2025-03-25,222.77902221679688,205.7100067138672,169.9706268310547,392.1578063964844,120.66156768798828
2025-03-26,220.56866455078125,201.1300048828125,164.48963928222656,387.0072326660156,113.73320007324219
2025-03-27,222.8786163330078,201.36000061035156,161.6793975830078,387.612548828125,111.40374755859375
2025-03-28,216.9544219970703,192.72000122070312,153.79672241210938,375.9220886230469,109.64415740966797
2025-03-31,221.16607666015625,190.25999450683594,154.10565185546875,372.5379943847656,108.35446166992188
2025-04-01,222.22146606445312,192.1699981689453,156.52725219726562,379.2863464355469,110.12405395507812
2025-04-02,222.9184112548828,196.00999450683594,156.49732971191406,379.2366943359375,110.39398193359375
2025-04-03,202.30824279785156,178.41000366210938,150.1991729736328,370.2752990722656,101.7760238647461
2025-04-04,187.56253051757812,171.0,145.09689331054688,357.10614013671875,94.28778076171875
2025-04-07,180.6725616455078,175.25999450683594,146.24290466308594,355.14117431640625,97.61698913574219
2025-04-08,171.67176818847656,170.66000366210938,144.19998168945312,351.8662414550781,96.27731323242188
2025-04-09,197.98709106445312,191.10000610351562,158.16160583496094,387.52325439453125,114.30306243896484
2025-04-10,189.59365844726562,181.22000122070312,152.29193115234375,378.4527282714844,107.5446548461914
2025-04-11,197.29013061523438,184.8699951171875,156.59701538085938,385.498779296875,110.90386199951172
2025-04-14,201.6411590576172,182.1199951171875,158.5203399658203,384.8636169433594,110.68391418457031
2025-04-15,201.26280212402344,179.58999633789062,155.76988220214844,382.7994384765625,112.1735610961914
2025-04-16,193.42697143554688,174.3300018310547,152.80015563964844,368.78668212890625,104.46538543701172
2025-04-17,196.1251983642578,172.61000061035156,150.63766479492188,364.9858093261719,101.4660873413086
2025-04-21,192.32179260253906,167.32000732421875,147.1597442626953,356.3916015625,96.88717651367188
2025-04-22,198.8732452392578,173.17999267578125,150.94659423828125,364.0330810546875,98.86670684814453
2025-04-23,203.71214294433594,180.60000610351562,154.8131866455078,371.5456237792969,102.68579864501953
2025-04-24,207.46575927734375,186.5399932861328,158.72959899902344,384.3575134277344,106.40492248535156
2025-04-25,208.371826171875,188.99000549316406,161.40036010742188,388.8729248046875,110.98385620117188
2025-04-28,209.2281036376953,187.6999969482422,160.0550079345703,388.1882019042969,108.70438385009766
2025-04-29,210.29344177246094,187.38999938964844,159.60658264160156,391.0462951660156,108.99431610107422
2025-04-30,211.57786560058594,184.4199981689453,158.2512664794922,392.2570495605469,108.89433288574219
2025-05-01,212.39431762695312,190.1999969482422,160.7426300048828,422.16802978515625,111.58370208740234
2025-05-02,204.45889282226562,189.97999572753906,163.46319580078125,431.9729919433594,114.47303009033203
2025-05-05,198.02691650390625,186.35000610351562,163.642578125,432.85626220703125,113.7931900024414
2025-05-06,197.6485595703125,185.00999450683594,162.6659393310547,430.0179443359375,113.51325988769531
2025-05-07,195.39837646484375,188.7100067138672,150.85691833496094,430.0576477050781,117.03242492675781
2025-05-08,196.63299560546875,192.0800018310547,153.74688720703125,434.8410339355469,117.34236145019531
2025-05-09,197.66847229003906,193.05999755859375,152.22216796875,435.3967590332031,116.62252044677734
2025-05-12,210.15048217773438,208.63999938964844,157.91246032714844,445.8468017578125,122.97103118896484
2025-05-13,212.2840118408203,211.3699951171875,158.978759765625,445.72772216796875,129.89938354492188
2025-05-14,211.68582153320312,210.25,164.79856872558594,449.4988098144531,135.30810546875
2025-05-15,210.8084716796875,205.1699981689453,163.39344787597656,450.512939453125,134.79823303222656
2025-05-16,210.6190643310547,205.58999633789062,165.61572265625,451.6463317871094,135.36810302734375
2025-05-19,208.14659118652344,206.16000366210938,165.96450805664062,456.2197570800781,135.53805541992188
2025-05-20,206.232421875,204.07000732421875,163.41336059570312,455.5238342285156,134.3483428955078
2025-05-21,201.4768829345703,201.1199951171875,167.9775390625,449.9561767578125,131.76895141601562
2025-05-22,200.7490997314453,203.10000610351562,170.27955627441406,452.23291015625,132.7987060546875
2025-05-23,194.67758178710938,200.99000549316406,167.88784790039062,447.5799560546875,131.25906372070312
2025-05-27,199.60260009765625,206.02000427246094,172.3025360107422,458.0292663574219,135.4680633544922
2025-05-28,199.81195068359375,204.72000122070312,171.76441955566406,454.7184753417969,134.7782440185547
2025-05-29,199.3433837890625,205.6999969482422,171.26614379882812,456.0308837890625,139.15721130371094
2025-05-30,200.24066162109375,205.00999450683594,171.14657592773438,457.7011413574219,135.09817504882812
2025-06-02,201.08807373046875,206.64999389648438,168.44593811035156,459.3018493652344,137.34764099121094
2025-06-03,202.6533203125,205.7100067138672,165.6057586669922,460.2961120605469,141.1867218017578
2025-06-04,202.20468139648438,207.22999572753906,167.4693145751953,461.19091796875,141.88656616210938
2025-06-05,200.02133178710938,207.91000366210938,167.62876892089844,464.9788818359375,139.95703125
2025-06-06,203.30133056640625,213.57000732421875,173.07984924316406,467.6632995605469,141.6865997314453
2025-06-09,200.83883666992188,216.97999572753906,175.69395446777344,470.0196228027344,142.59640502929688
2025-06-10,202.05511474609375,217.61000061035156,178.19833374023438,468.2001647949219,143.92608642578125
2025-06-11,198.17694091796875,213.1999969482422,176.95114135742188,469.890380859375,142.80625915527344
2025-06-12,198.5956573486328,213.24000549316406,175.30482482910156,476.104248046875,144.9759063720703
2025-06-13,195.85398864746094,212.10000610351562,174.27716064453125,472.21685791015625,141.94639587402344
2025-06-16,197.8180389404297,216.10000610351562,176.3724365234375,476.3727111816406,144.66595458984375
2025-06-17,195.0464630126953,214.82000732421875,175.5542755126953,475.279052734375,144.09603881835938
2025-06-18,195.9835968017578,212.52000427246094,172.93020629882812,477.4663391113281,145.455810546875
2025-06-20,200.39019775390625,209.69000244140625,166.26522827148438,474.64276123046875,143.8260955810547
2025-06-23,200.888671875,208.47000122070312,164.81846618652344,483.19305419921875,144.1460418701172
2025-06-24,199.6923065185547,212.77000427246094,166.3949432373047,487.279296875,147.87539672851562
2025-06-25,200.94850158691406,211.99000549316406,170.29612731933594,489.4268493652344,154.28436279296875
2025-06-26,200.39019775390625,217.1199951171875,173.1497039794922,494.57696533203125,154.99423217773438
2025-06-27,200.46995544433594,223.3000030517578,178.12847900390625,493.0756530761719,157.7238006591797
2025-06-30,204.54754638671875,219.38999938964844,175.83363342285156,494.53717041015625,157.96376037597656
2025-07-01,207.18951416015625,220.4600067138672,175.44451904296875,489.2081298828125,153.2745361328125
2025-07-02,211.79550170898438,219.9199981689453,178.23822021484375,488.253662109375,157.22386169433594
2025-07-03,212.90213012695312,223.41000366210938,179.126220703125,495.95892333984375,159.3135223388672
2025-07-07,209.3130340576172,223.47000122070312,176.3923797607422,494.8454284667969,158.21371459960938
2025-07-08,209.3728485107422,219.36000061035156,173.9678497314453,493.75177001953125,159.97341918945312
2025-07-09,210.49942016601562,222.5399932861328,176.22276306152344,500.60198974609375,162.85293579101562
2025-07-10,211.7655792236328,222.25999450683594,177.22052001953125,498.58367919921875,164.07273864746094
2025-07-11,210.51937866210938,225.02000427246094,179.78475952148438,500.4130859375,164.89259338378906
2025-07-14,207.98707580566406,225.69000244140625,181.1516571044922,500.1147766113281,164.04273986816406
2025-07-15,208.4755859375,226.35000610351562,181.59066772460938,502.89862060546875,170.671630859375
2025-07-16,209.52239990234375,223.19000244140625,182.55850219726562,502.69976806640625,171.34152221679688
2025-07-17,209.38284301757812,223.8800048828125,183.1671142578125,508.7446594238281,172.97125244140625
2025-07-18,210.53929138183594,226.1300048828125,184.643798828125,507.1041564941406,172.38136291503906
2025-07-21,211.83535766601562,229.3000030517578,189.67247009277344,507.1141357421875,171.35153198242188
2025-07-22,213.74952697753906,227.47000122070312,190.90966796875,502.35174560546875,167.00225830078125
2025-07-23,213.5002899169922,228.2899932861328,189.8021697998047,502.94830322265625,170.75161743164062
2025-07-24,213.11148071289062,232.22999572753906,191.73777770996094,507.9294128417969,173.7111358642578
2025-07-25,213.2311248779297,231.44000244140625,192.74551391601562,510.7430419921875,173.47117614746094
2025-07-28,213.40060424804688,232.7899932861328,192.14686584472656,509.5400390625,176.7206268310547
2025-07-29,210.62904357910156,231.00999450683594,195.30975341796875,509.609619140625,175.4808349609375
2025-07-30,208.415771484375,230.19000244140625,196.08799743652344,510.2757873535156,179.24021911621094
2025-07-31,206.9402618408203,234.11000061035156,191.46839904785156,530.4187622070312,177.84043884277344
2025-08-01,201.76602172851562,214.75,188.7046356201172,521.0829467773438,173.69113159179688
2025-08-04,202.7330780029297,211.64999389648438,194.60133361816406,532.54638671875,179.9700927734375
2025-08-05,202.30438232421875,213.75,194.23216247558594,524.7019653320312,178.23037719726562
2025-08-06,212.60302734375,222.30999755859375,195.64898681640625,521.908203125,179.3901824951172
2025-08-07,219.3624725341797,223.1300048828125,196.07801818847656,517.8319091796875,180.73997497558594
2025-08-08,228.65420532226562,222.69000244140625,200.9669952392578,519.02490234375,182.66964721679688
2025-08-11,226.74781799316406,221.3000030517578,200.54794311523438,518.7564697265625,182.0297393798828
2025-08-12,229.21310424804688,221.47000122070312,202.88267517089844,526.183349609375,183.1295623779297
2025-08-13,232.88612365722656,224.55999755859375,201.5057830810547,517.5734252929688,181.55982971191406
2025-08-14,232.33717346191406,230.97999572753906,202.48358154296875,519.46240234375,181.98974609375
2025-08-15,231.1494140625,231.02999877929688,203.44140625,517.1657104492188,180.42001342773438
2025-08-18,230.45074462890625,231.49000549316406,203.0423126220703,514.1134643554688,181.979736328125
2025-08-19,230.1213836669922,228.00999450683594,201.11666870117188,506.8257751464844,175.61080932617188
2025-08-20,225.5800323486328,223.80999755859375,198.87171936035156,502.7991943359375,175.370849609375
2025-08-21,224.47213745117188,221.9499969482422,199.30075073242188,502.15185546875,174.95091247558594
2025-08-22,227.3267059326172,228.83999633789062,205.62649536132812,505.1295166015625,177.96043395996094
2025-08-25,226.7278594970703,227.94000244140625,208.02108764648438,502.17181396484375,179.78012084960938
2025-08-26,228.87376403808594,228.7100067138672,206.6741180419922,499.96099853515625,181.7397918701172
2025-08-27,230.05152893066406,229.1199951171875,207.01336669921875,504.64154052734375,181.56983947753906
2025-08-28,232.11758422851562,231.60000610351562,211.16400146484375,507.529541015625,180.1400604248047
